,Title,Distance,Award,Type,Time,URL,Race_History
21,Pinjarra Park - Race 7,1200m,Total $27.5k: 1st $15.1k,              Soft 7            ,2023-07-06 01:10:00,/form-guide/pinjarra-park_247584/living-turfthe-lawn-shed-handicap_1481200/,"      Horse_Name       Top_Tote
Rank                           
1     J Mcnaught  $3.80 / $1.50
2        J Noske          $2.70
3         W Pike          $1.70
4      M L Fiore              -
5       A Galati              -
6       V Corver              -
7        T Dyson              -
8       B Gaerth              -"
22,Pinjarra Park - Race 8,1600m,Total $27.5k: 1st $15.1k,              Soft 7            ,2023-07-06 01:50:00,/form-guide/pinjarra-park_247584/lexus-melbourne-cup-tour-at-pinjarra-park-3-aug-handicap_1481201/,"             Horse_Name        Top_Tote
Rank                                   
1           J Azzopardi  $11.00 / $3.50
2             M L Fiore           $3.30
3              V Corver           $2.70
4              A Galati               -
5              H Watson               -
6           N Faithfull               -
7             C Parnham               -
8              L Ramoly               -
9     C Johnston-porter               -
10             B Gaerth               -
11            C Staples               -"
23,Taree - Race 1,1007m,Total $27k: 1st $14k,              Soft 5            ,2023-07-05 19:35:00,/form-guide/taree_247585/become-a-mvrc-member-maiden-plate_1481207/,"       Horse_Name       Top_Tote
Rank                            
1        A Morgan  $3.30 / $1.50
2       A Bullock          $2.80
3       A Gibbons          $2.50
4         L Rolls              -
5     J Grisedale              -
6       G Buckley              -
7       M Derrick              -
8          M Owen              -
9        K Nestor              -
10    C Houlgatte              -
11       Z Wadick              -
12       M Palmer              -"
24,Taree - Race 2,1412m,Total $27k: 1st $14k,              Soft 5            ,2023-07-05 20:10:00,/form-guide/taree_247585/get-your-kosciuszko-tickets-maiden-handicap_1481209/,"       Horse_Name       Top_Tote
Rank                            
1       A Bullock  $1.40 / $1.04
2        R Spokes          $2.80
3         J Kehoe         $27.90
4        A Morgan              -
5       G Buckley              -
6        Z Wadick              -
7     J Grisedale              -
8         L Rolls              -
9       A Gibbons              -
10       K Nestor              -
11       J Barrie              -
12       P Graham              -"
25,Taree - Race 3,1262m,Total $30k: 1st $15k,              Soft 5            ,2023-07-05 20:45:00,/form-guide/taree_247585/tab-country-boosted-maiden-handicap_1481208/,"      Horse_Name        Top_Tote
Rank                            
1       A Morgan  $22.00 / $4.80
2       P Graham           $2.60
3      G Buckley           $1.40
4         M Owen               -
5      A Gibbons               -
6       R Spokes               -
7        L Rolls               -
8       B Looker               -
9       J Barrie               -
10      M Palmer               -
11    K Jennings               -"
26,Taree - Race 4,1614m,Total $27k: 1st $14k,              Soft 5            ,2023-07-05 21:20:00,/form-guide/taree_247585/xxxx-gold-class-1-and-maiden-plate_1481206/,"       Horse_Name       Top_Tote
Rank                            
1      K Jennings  $2.40 / $1.40
2        B Looker          $4.10
3        M Palmer          $3.70
4        Z Wadick              -
5        R Spokes              -
6       G Buckley              -
7       A Bullock              -
8     J Grisedale              -
9       M Derrick              -
10        J Kehoe              -"
27,Taree - Race 5,1614m,Total $27k: 1st $14k,              Soft 5            ,2023-07-05 21:55:00,/form-guide/taree_247585/jims-building-inspections-taree-benchmark-58-handicap_1481205/,"       Horse_Name       Top_Tote
Rank                            
1       A Bullock  $3.60 / $1.90
2            E Ly          $2.50
3        A Morgan          $5.80
4      K Jennings              -
5        R Spokes              -
6        B Osmond              -
7        Z Wadick              -
8     J Grisedale              -
9          M Owen              -
10       B Looker              -
11       M Palmer              -"
28,Taree - Race 6,1312m,Total $30k: 1st $15k,              Soft 5            ,2023-07-05 22:35:00,/form-guide/taree_247585/max-1073-country-boosted-benchmark-58-handicap_1481204/,"       Horse_Name       Top_Tote
Rank                            
1        L Scorse  $1.70 / $1.20
2       M Derrick          $5.80
3        R Spokes          $3.80
4        Z Wadick              -
5       G Buckley              -
6     J Grisedale              -
7         L Rolls              -
8       A Bullock              -
9          M Owen              -
10       M Palmer              -
11      A Gibbons              -"
29,Taree - Race 7,1007m,Total $27k: 1st $14k,              Soft 5            ,2023-07-05 23:10:00,/form-guide/taree_247585/tony-ball-racing-benchmark-58-handicap_1481203/,"      Horse_Name       Top_Tote
Rank                           
1      A Bullock  $2.50 / $1.40
2     O Chambers          $2.30
3     K Jennings          $3.00
4      J Presits              -
5      G Buckley              -
6      C Bellamy              -
7       J Barrie              -
8       A Morgan              -
9      A Gibbons              -
10       L Rolls              -
11        M Owen              -
12       J Kehoe              -"
30,Warwick - Race 1,1350m,Total $22k: 1st $12.2k,              Soft 7            ,2023-07-05 19:22:00,/form-guide/warwick_247586/punt-123.bet-fillies-and-mares-maiden-plate_1481215/,"      Horse_Name         Top_Tote
Rank                             
1      M Hellyer  $65.10 / $14.20
2      K Yoshida            $1.80
3     A Thompson            $9.70
4      L Tarrant                -
5      K Zechner                -
6     N Tomizawa                -
7         E Lang                -
8       C Graham                -
9       A Graham                -"
31,Warwick - Race 2,1350m,Total $22k: 1st $12.2k,              Soft 7            ,2023-07-05 19:57:00,/form-guide/warwick_247586/punt-123.bet-colts-geldings-and-entires-maiden-plate_1481214/,"         Horse_Name       Top_Tote
Rank                              
1            E Lang  $2.90 / $1.50
2          C Graham          $2.10
3        A Thompson          $2.60
4          J Taylor              -
5         K Zechner              -
6     D Mcgillivray              -
7        N Tomizawa              -
8        T Townsend              -"
32,Warwick - Race 3,1500m,Total $20k: 1st $11k,              Soft 7            ,2023-07-05 20:34:00,/form-guide/warwick_247586/punt-123.bet-qtis-three-year-old-benchmark-62-handicap_1481216/,"      Horse_Name       Top_Tote
Rank                           
1       L Tilley  $4.80 / $2.40
2     N Tomizawa          $3.10
3       J Taylor              -
4      M Hellyer              -
5      G Semmens              -"
33,Warwick - Race 4,800m,Total $22k: 1st $12.2k,              Soft 7            ,2023-07-05 21:12:00,/form-guide/warwick_247586/naidoc-celebration-race-2023-qtis-three-year-old-maiden-handicap_1481217/,"         Horse_Name        Top_Tote
Rank                               
1            E Lang  $13.30 / $3.40
2         C Bayliss           $1.30
3         M Hellyer           $2.20
4         G Semmens               -
5        J Huxtable               -
6          M Powell               -
7     N Fazackerley               -
8     D Mcgillivray               -
9          N Masuda               -"
34,Warwick - Race 5,800m,Total $20k: 1st $11k,              Soft 7            ,2023-07-05 21:47:00,/form-guide/warwick_247586/punt-123.bet-benchmark-58-handicap_1481213/,"       Horse_Name        Top_Tote
Rank                             
1     B Ainsworth  $10.50 / $3.30
2      B Thornton           $1.70
3        A Donald           $3.40
4        L Tilley               -
5         C Eaton               -
6       M Hellyer               -
7        C Taylor               -
8        A Graham               -
9       C Krahnen               -
10      K Zechner               -"
35,Warwick - Race 6,1500m,Total $20k: 1st $11k,              Soft 7            ,2023-07-05 22:22:00,/form-guide/warwick_247586/punt-123.bet-class-2-handicap_1481210/,"      Horse_Name       Top_Tote
Rank                           
1     R Jamieson  $7.80 / $2.80
2       M Butler          $2.40
3      L Tarrant          $2.50
4       A Graham              -
5     B Thornton              -
6         E Lang              -
7        C Eaton              -
8        J Adams              -
9     A Thompson              -"
36,Warwick - Race 7,1350m,Total $20k: 1st $11k,              Soft 7            ,2023-07-05 22:57:00,/form-guide/warwick_247586/punt-123.bet-benchmark-62-handicap_1481211/,"         Horse_Name        Top_Tote
Rank                               
1     D Mcgillivray  $14.00 / $3.40
2          M Powell           $4.30
3      G Cartwright           $1.50
4         M Hellyer               -
5        J Huxtable               -
6            E Lang               -
7         G Semmens               -
8         L Tarrant               -
9        S Champkin               -"
37,Warwick - Race 8,2000m,Total $20k: 1st $11k,              Soft 7            ,2023-07-05 23:35:00,/form-guide/warwick_247586/punt-123.bet-benchmark-60-handicap_1481212/,"        Horse_Name       Top_Tote
Rank                             
1     G Cartwright  $2.10 / $1.10
2        K Yoshida          $3.60
3          J Adams          $7.50
4         N Masuda              -
5        M Hellyer              -
6      B Ainsworth              -
7          Y Lewis              -
8        K Zechner              -"
38,Happy Valley - Race 1,1650m,Total $0: 1st $77.2k,Good ,2023-07-06 03:45:00,/form-guide/happy-valley_247952/fa-hui-park-hcp-c5_1483502/,"     Horse_Name       Top_Tote
Rank                          
1       K Yeung  $8.00 / $2.80
2          V Ho          $2.70
3      H Bowman          $2.85
3         M Dee          $3.25"
39,Happy Valley - Race 2,1000m,Total $0: 1st $252k,Good ,2023-07-06 04:15:00,/form-guide/happy-valley_247952/hong-kong-park-hcp-c2_1483503/,"     Horse_Name       Top_Tote
Rank                          
1      Z Purton  $1.75 / $1.25
2      H Bowman          $1.90"
